unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives,additional_resources
1,Course Introduction,1,Overall Introduction,,,assets/slides/Lecture_1.pdf,1dhcvAhoT5E,<p>Geoffrey gives a short introduction to the course covering it's content and structure. He presents the X-Informatics fields (defined values of X) and the Rallying cry of course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics ( or e-X). The courses is set up as a MOOC divided into units that vary in length but are typically around an hour and those are further subdivided into 5-15 minute lessons. Geoffrey follows discussion of mechanics of course with a list of all the units offered</p>,
1,Course Introduction,2,Course Topics I,,,assets/slides/Lecture_1.pdf,N7HFXyJXubk,"<p>Geoffrey discusses some of the available units:</br>Motivation: Big Data and the Cloud; Centerpieces of the Future Economy</br>Introduction: What is Big Data, Data Analytics and X-Informatics</br>X= LHC Analysis and Discovery of Higgs particle</br>Technology: Explore Events; histograms and models; basic statistics</br>X= e-Commerce and Lifestyle</br>Technology: Recommender Systems - K-Nearest Neighbors</br>Clustering and heuristic methods</p>",
1,Course Introduction,3,Course Topics II,,,assets/slides/Lecture_1.pdf,ZKufNl8LbL8,<p>Geoffrey discusses the remainder of the available units:</br>Parallel Computing Overview and familiar examples</br>Cloud Computing Technology for X-Informatics</br>X = Web Search and Text Mining and their technologies</br>Technology for X-Informatics: Kmeans </br>Technology for X-Informatics: MapReduce</br>Technology for X-Informatics: Kmeans and MapReduce Parallelism</br>Technology for X-Informatics: PageRank </br>X = Health</br>X = Sensors</br>X = Radar for Remote Sensing</p>,
1,Course Introduction,4,Course Topics III,,,assets/slides/Lecture_1.pdf,OwNsde5cCzQ,<p>Geoffrey discusses the remainder of the available units:</br>Parallel Computing Overview and familiar examples</br>Cloud Computing Technology for X-Informatics</br>X = Web Search and Text Mining and their technologies</br>Technology for X-Informatics: Kmeans </br>Technology for X-Informatics: MapReduce</br>Technology for X-Informatics: Kmeans and MapReduce Parallelism</br>Technology for X-Informatics: PageRank </br>X = Health</br>X = Sensors</br>X = Radar for Remote Sensing</p>,
2,Course Motivation: Big Data and Clouds,1,Introduction,,,assets/slides/Lecture_2.pdf,GH3fhb8F9CM,"<p>This presents the overview of talk, some trends in computing and data and jobs. Gartner's emerging technology hype cycle shows many areas of Clouds and Big Data. Geoffrey highlights 6 issues of importance: economic imperative, computing model, research model, Opportunities in advancing computing, Opportunities in X-Informatics, Data Science Education</p>",
2,Course Motivation: Big Data and Clouds,2,Data Deluge,,,assets/slides/Lecture_2.pdf,y8NZdvaH-IU,"<p>Geoffrey gives some amazing statistics for total storage; uploaded video and uploaded photos; the social media interactions every minute; aspects of the business big data tidal wave; monitors of aircraft engines; the science research data sizes from particle physics to astronomy and earth science; genes sequenced; and finally the long tail of science. The next slide emphasizes applications using algorithms on clouds. This leads to the rallying cry ''Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics educated in data science'' with a catalog of the many values of X ''Astronomy, Biology, Biomedicine, Business, Chemistry, Climate, Crisis, Earth Science, Energy, Environment, Finance, Health, Intelligence, Lifestyle, Marketing, Medicine, Pathology, Policy, Radar, Security, Sensor, Social, Sustainability, Wealth and Wellness''</p>",
2,Course Motivation: Big Data and Clouds,3,Jobs,,,assets/slides/Lecture_2.pdf,P84TBNt_kv8,"<p>Jobs abound in clouds and data science. There are documented shortages in data science, computer science and the major tech companies advertise for new talent.</p>",
2,Course Motivation: Big Data and Clouds,4,Industrial Trends,,,assets/slides/Lecture_2.pdf,TdaitkVI7qk,"<p>Trends include the growing importance of mobile devices and comparative decrease in desktop access, the export of internet content, the change in dominant client operating systems, use of social media, thriving chinese internet companies</p>",
2,Course Motivation: Big Data and Clouds,5,Computing Model: Industry adopted clouds which are attractive for data analytics,,,assets/slides/Lecture_2.pdf,TIKWL2tkxAM,"<p>Clouds and Big Data are transformational on a 2-5 year time scale. Already Amazon AWS is a lucrative business with almost a $4B revenue. Geoffrey describes the nature of cloud centers with economies of scale and gives examples of importance of virtualization in server consolidation. Then key characteristics of clouds are reviewed with expected high growth in Infrastructure, Platform and Software as a Service.</p>",
2,Course Motivation: Big Data and Clouds,6,Research Model: 4th Paradigm; From Theory to Data driven science?,,,assets/slides/Lecture_2.pdf,-7hABgDO5Iw,<p>Geoffrey introduces the 4 paradigms of scientific research with the focus on the new fourth data driven methodology.</p>,
